"Data Source","World Development Indicators",

"Last Updated Date","2021-11-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Australia","AUS","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.639760867","1.330318563","2.633487711","5.090633139","9.990812021","19.00001184","","24.91529036","24.00365852","24.8705928","24.63395046","25.03935129","25.71929639","27.69911237","28.53023892","30.39231558","32.22339821","33.8471546","34.54134273","35.04937513",
"Austria","AUT","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.632210727","2.360806595","3.959125426","5.54434666","7.350915843","10.58805704","14.22400998","17.2835331","19.50987865","20.72760735","22.43639807","24.38064725","24.81457091","25.05461216","26.092224","27.38179226","28.2935384","28.84661223","28.47197491","28.35440316","28.12921617","28.934986",
"Azerbaijan","AZE","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.012081583","","","0.025577949","0.04582773","0.167349763","0.680127678","1.120525015","5.262076415","10.64771177","14.78294152","18.24285161","19.96786744","19.73923241","18.52561662","18.3357575","19.00503511","19.33785363","19.68082814",
"Burundi","BDI","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.001968964","0.001905291","0.004057355","0.005547862","0.007592482","0.016079174","0.017268878","0.027273542","0.030940137","0.036150301","0.03521135","0.03374505","0.035573769",
"Belgium","BEL","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.106707834","0.224277339","1.402592269","4.457894689","7.867120571","11.92939997","15.45730835","19.06329508","23.08574576","25.51629473","27.67016385","29.03572211","30.83667139","32.17547029","33.3052753","34.32772916","35.74653262","36.50842403","37.60922178","38.34561848","39.21686286","39.78313988","40.84869715",
"Benin","BEN","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000287853","0.000279235","0.001045161","0.002455456","0.018230726","0.008397604","0.096861866","0.213098069","0.293871496","0.396741047","0.429231485","0.424575078","0.441525117","0.692731964","0.20509447","0.256058103","0.235384383","0.212114903","0.247302692",
"Burkina Faso","BFA","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000406732","0.001145826","0.001181836","0.002860989","0.012401317","0.047235406","0.069885583","0.078904449","0.087823194","0.087446064","0.086462985","0.075922001","0.030751682","0.051649242","0.066415118","0.064402904","0.069959364","0.059124927","0.066874695",
"Bangladesh","BGD","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.030639201","0.034649034","0.217028913","0.280920069","0.313854189","0.397641178","0.998501467","2.001827212","3.131355825","4.173005954","4.571801118","4.990118524","4.95902507","5.781775259",
"Bulgaria","BGR","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.085878838","2.152592923","5.040904142","8.302801019","11.21135362","13.35429536","15.14776819","17.03287187","18.15851452","19.49979205","20.43832945","22.42498723","23.73603406","25.29667253","27.0001679","28.78196785","30.67745373",
"Bahrain","BHR","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.168591274","0.677416459","1.250404516","1.80226645","2.410353995","4.03039175","6.588642548","8.398937416","11.77249392","12.4842448","22.80802503","22.72305576","22.81746092","21.52364201","18.44522474","16.29866067","12.99552365","8.04844512","8.590933796","8.732791678",
"Bahamas, The","BHS","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.367730935","2.45075733","3.494087101","4.0148137","4.119325615","5.011887032","6.076072427","7.419671149","9.035651766","6.959446896","4.309496132","21.43383647","19.74295216","20.82059612","21.65064163","22.52480618","22.75490825","21.05814535","21.12934616","",
"Bosnia and Herzegovina","BIH","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000719774","0.001810672","0.005665817","0.039870575","0.176319286","0.363898951","1.062297367","2.250752501","5.019882688","7.819000208","10.54931733","11.7516098","13.02082235","14.56848433","15.57692832","18.51619004","19.56337748","20.89636807","21.55180998","22.59578915","23.48876912",
"Belarus","BLR","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000205214","0.001270762","0.007798987","0.01635626","0.119986765","1.79110523","5.056461778","11.57926852","17.69139545","22.28355489","26.88573466","29.56269142","28.46079751","30.75926357","32.47559748","33.47310769","33.86912852","34.01110045","34.45275392",
"Belize","BLZ","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.348891157","1.022408356","1.769556025","2.486879095","2.501463088","2.62268474","2.650522","2.764649697","2.936678809","2.950591716","2.863630447","2.801627774","4.81502107","4.987513572","5.057894611","6.436926836","7.582880111","",
"Bermuda","BMU","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.90195753","35.68862456","43.54972856","51.50081145","60.9069038","61.32529936","","","62.28062001","54.2392204","47.10167682","35.97897794","36.17503846","","","",
