"Data Source","World Development Indicators",

"Last Updated Date","2021-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Fuel exports (% of merchandise exports)","TX.VAL.FUEL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00955674346080584","0.106446012341249","0.0107756603770306","0.0469829005505492","0.00338457142104372","0.24352175025681","0.197299260830369","0.104981848860667","0.114804388945509","0.0591404548820956","0.0102239646143204","0.0453611301541977",
"Africa Eastern and Southern","AFE","Fuel exports (% of merchandise exports)","TX.VAL.FUEL.ZS.UN","","","","","","","","","","","","","","","13.4048012582445","","","","18.623365172021","21.9231309232911","23.781492729881","26.1179141802049","","","","","","","","","","","","","","","","5.56765894857206","","8.10841620583554","9.25855714577765","9.41700376941651","10.2586355059809","9.55440878334469","8.05887913918278","9.72718870364484","10.159963302837","27.0902362064235","8.76787329897208","27.45083642155","27.1242380914774","27.8378188982241","27.5501248455033","26.2826289237569","26.7396652591462","24.3858114313258","23.9902718342212","25.5617175749505","24.5718128187117","25.5560373982188","6.53784617324581",
"Afghanistan","AFG","Fuel exports (% of merchandise exports)","TX.VAL.FUEL.ZS.UN","","","","","","","","4.40957469624438","12.5789673516027","14.8661726967355","16.9461490985105","14.553298159669","13.7309154971656","11.6195424928802","13.9742449191501","20.29962345871","13.2242232130081","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.45045600557406","","5.23442825325977","10.2131802839916","8.05127918914394","",
"Africa Western and Central","AFW","Fuel exports (% of merchandise exports)","TX.VAL.FUEL.ZS.UN","","","6.56472750496088","6.28769155367392","7.53534868913427","13.5147010915036","17.0331358379952","16.4838375528941","10.7774868933143","24.6295470718437","29.9539971168615","37.8829711052324","43.5068726494658","47.1485994532388","53.9945274134857","56.894619532201","62.9616669607904","56.3825670377179","55.5433854015071","57.9342524105379","","62.5208814911294","","64.9493505995907","","","","","","","","","","","","","60.7462395887592","60.3856555870376","60.577167386953","61.8610279019444","64.2825645326027","62.8924045808753","65.7572568417322","61.6800349603521","","","66.2847951150019","63.1488661178076","60.8761780673268","60.0734059011792","56.3951752044127","60.2403376470778","59.7643281559461","60.622691317387","59.9221859639464","54.5480487404182","54.6907324149685","60.4375710594831","64.1276132977571","62.0055708168488","",
"Angola","AGO","Fuel exports (% of merchandise exports)","TX.VAL.FUEL.ZS.UN","","","3.04073581976792","","","","","","","7.17644765363341","13.3846841985665","19.9471377397395","26.8408664215116","31.3947274619275","51.6415136754715","","","","65.7394994788424","71.9070420055715","77.9692502787831","82.123986964698","","","","","","","","","93.4776803422701","94.8315360921689","","","","","","","","","","","","","","","","97.2265157759709","","97.9163499226215","97.907546364557","98.1409857200318","98.3701643783163","98.2172600764467","97.7227209443798","94.015909711502","92.7010564416325","94.6912523832599","92.4178098952389","95.2427011277793","",
"Albania","ALB","Fuel exports (% of merchandise exports)","TX.VAL.FUEL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.988651627069","1.7207253450672","1.16927644792172","2.15548929178211","1.85161317101105","1.44835925490073","2.00964296137502","1.02973846823218","2.62772601236456","8.62320052650774","13.6870930880734","7.45160818498145","21.7778131991269","11.5960781278093","17.9566356438708","21.1844238003204","26.5886650361114","30.9941374911229","1.56752336260238","8.80663849491778","11.1750625223542","0.824033253592084","1.66266625199045","0.602741338715028","0.902088845196007",
"Andorra","AND","Fuel exports (% of merchandise exports)","TX.VAL.FUEL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.169823572259061","0.00801851368415153","0.0061291176337256","0.01444721655249","0.0978477340993332","0.133470719864966","0.201277203740919","0.00340850271314777","0.00718421522431373","0.0020915587513253","0.00139066416530204","0.000877373640358075","0.0164949512104574","0.00639830470518531","0.0674188216319382","0.00171579041048206","0.00296782975160396","0.0955076356839859","0.126282543187277","0.113812116132643","0.0444906582187301","0.0106074565322064","0.00858216206261872","0.0136386652598846","","",
"Arab World","ARB","Fuel exports (% of merchandise exports)","TX.VAL.FUEL.ZS.UN","","","","","","","","","","","","","","","","","","","88.5085360910063","86.3342823538775","","","","","","","","","","","","51.2091429177487","53.8977237327715","52.4004700120572","","","","","","82.9637654924361","84.7661784457732","84.4706370351967","71.1731585006202","67.3781484370273","71.6622649606191","71.9829481681375","75.8966764858011","76.3051277821074","75.7343185923704","65.6498946444203","69.7152837776731","70.903961379861","66.7755945838914","71.0570186898293","68.5330949825473","60.5909197399255","58.8060811129939","58.6001043617659","70.0146067250995","73.0235732305192","67.6796285684953",
"United Arab Emirates","ARE","Fuel exports (% of merchandise exports)","TX.VAL.FUEL.ZS.UN","","","","","","","","","","","","","","","","","","","94.9120964679524","92.0270022947173","","","","21.3097629464883","","","","","","","","7.29751110467935","10.3042686746707","9.11330268720246","","","","","","91.2876718951178","93.843835816671","91.783197076844","55.7261089954946","48.2728267331956","54.0586347867889","57.7303108639363","62.2532759092846","63.7197584312545","62.3049100024591","43.5246013949901","49.9895842732484","53.53510869755","47.2314180822645","55.8450463820593","50.7904131941309","37.6515523519582","31.5589740156326","36.0031654296199","68.5547547047869","77.8509057885497","71.4508217152347",
"Argentina","ARG","Fuel exports (% of merchandise exports)","TX.VAL.FUEL.ZS.UN","","","1.08084667297785","0.822615007036755","0.432268863276612","0.615568720804148","0.878622056994743","0.52525865800809","0.905895163072807","0.358795437503231","0.429985457822026","0.488016438760078","0.322420189254759","0.17139838237626","0.314088278435944","0.494938171881615","0.503027415396397","0.492338388911638","0.807152517079348","0.621535840198475","3.46428693193844","6.78099847731652","7.18794119964191","4.26583230217549","4.09102167401642","7.30702352807232","2.24126011836166","1.34305051014403","","","","","8.83930605509692","9.41596460129187","10.4211813944822","10.33985004541","12.9690098612611","11.6985744022358","8.61176447846474","12.1168238278399","17.6241830605225","17.0272143366815","17.0062379055992","17.0830633855413","16.0002898523067","16.3961455637403","15.2633165831813","10.9263087314733","9.3709820098464","10.1652449472257","7.9031772465604","5.97246524651941","6.2284692328923","4.68210792056408","4.67798996439498","2.53859469345403","2.49626797447559","2.78500091311244","4.11937463447478","3.59778808100214","2.67898832929622",
